split,stratifier,stratum,metric,n_complexes,mean,ci95_low,ci95_high
split2026,ligand_atoms_quartile,Q4,mcc,2,0.12966807453530793,0.075806203882746,0.1835299451878699
split2026,ligand_atoms_quartile,Q4,f1,2,0.11184776464226895,0.0737704918032786,0.1499250374812593
split2026,ligand_atoms_quartile,Q4,p_at_5,2,0.3,0.0,0.6
split2026,ligand_atoms_quartile,Q4,p_at_10,2,0.44999999999999996,0.2,0.7
split2026,ligand_atoms_quartile,Q4,p_at_nc,2,0.25357142857142856,0.15,0.3571428571428571
split2027,ligand_atoms_quartile,Q1,auprc,13,0.09682371607766695,0.057168759606461915,0.14035484433608006
split2027,ligand_atoms_quartile,Q1,auroc,13,0.5176355753120496,0.41785554018648324,0.6129952294196207
split2027,ligand_atoms_quartile,Q1,mcc,13,0.04370773567989447,-0.022448785738909197,0.10985759955134242
split2027,ligand_atoms_quartile,Q1,f1,13,0.12305715519021125,0.06042865399848411,0.18866247049353926
split2027,ligand_atoms_quartile,Q1,p_at_5,13,0.015384615384615385,0.0,0.04615384615384616
split2027,ligand_atoms_quartile,Q1,p_at_10,13,0.02307692307692308,0.0,0.06153846153846154
split2027,ligand_atoms_quartile,Q1,p_at_nc,13,0.07869747773593927,0.034355574980574975,0.1279174884944116
split2027,ligand_atoms_quartile,Q2,auprc,9,0.07041257647083635,0.04949136390026789,0.09315762351138498
split2027,ligand_atoms_quartile,Q2,auroc,9,0.507821119038164,0.4324029062764461,0.5809534570665551
split2027,ligand_atoms_quartile,Q2,mcc,9,-0.02032100546272307,-0.09536216928020208,0.06007762050038749
split2027,ligand_atoms_quartile,Q2,f1,9,0.05787510044425995,0.016806722689075623,0.10286217083766874
split2027,ligand_atoms_quartile,Q2,p_at_5,9,0.0,0.0,0.0
split2027,ligand_atoms_quartile,Q2,p_at_10,9,0.022222222222222223,0.0,0.06666666666666668
split2027,ligand_atoms_quartile,Q2,p_at_nc,9,0.026570048309178744,0.0,0.07971014492753624
split2027,ligand_atoms_quartile,Q3,auprc,16,0.06053325092833724,0.02880537723348098,0.103970036062265
split2027,ligand_atoms_quartile,Q3,auroc,16,0.5315701339223786,0.45706839845937447,0.5969869466006622
split2027,ligand_atoms_quartile,Q3,mcc,16,0.03464789784013185,-0.0011223138359309787,0.06869013119794497
split2027,ligand_atoms_quartile,Q3,f1,16,0.0655570767355969,0.036021940945631735,0.0960058554895227
split2027,ligand_atoms_quartile,Q3,p_at_5,16,0.0875,0.0,0.2
split2027,ligand_atoms_quartile,Q3,p_at_10,16,0.075,0.0,0.18125
split2027,ligand_atoms_quartile,Q3,p_at_nc,16,0.045526175213675205,0.0078125,0.1016025641025641
split2027,ligand_atoms_quartile,Q4,auprc,12,0.04150627301083146,0.02501475449812501,0.06200037921103648
split2027,ligand_atoms_quartile,Q4,auroc,12,0.5969064213865111,0.5504120496541951,0.6461639285896228
split2027,ligand_atoms_quartile,Q4,mcc,12,-0.02168461682401192,-0.04091602191940172,-5.411038383905885e-05
split2027,ligand_atoms_quartile,Q4,f1,12,0.011633798715794367,0.0,0.0297944674388509
split2027,ligand_atoms_quartile,Q4,p_at_5,12,0.0,0.0,0.0
split2027,ligand_atoms_quartile,Q4,p_at_10,12,0.0,0.0,0.0
split2027,ligand_atoms_quartile,Q4,p_at_nc,12,0.0016339869281045752,0.0,0.004901960784313725
split2028,ligand_atoms_quartile,Q1,auprc,16,0.11883969145518507,0.09460606017081896,0.14290385506982958
split2028,ligand_atoms_quartile,Q1,auroc,16,0.6031524810194682,0.5188142129418813,0.6889440841486952
split2028,ligand_atoms_quartile,Q1,mcc,16,0.02735263885085692,-0.02521664064015508,0.09110756252821299
split2028,ligand_atoms_quartile,Q1,f1,16,0.07076028529282287,0.019265340364333642,0.13544823937213069
split2028,ligand_atoms_quartile,Q1,p_at_5,16,0.0875,0.0,0.19999999999999998
split2028,ligand_atoms_quartile,Q1,p_at_10,16,0.075,0.0,0.17500000000000002
split2028,ligand_atoms_quartile,Q1,p_at_nc,16,0.05668448399426658,0.018543956043956037,0.09928929765886284
split2028,ligand_atoms_quartile,Q2,auprc,11,0.09319635176414924,0.05157736437487765,0.14359846827221825
split2028,ligand_atoms_quartile,Q2,auroc,11,0.5154180373814873,0.3567592126470642,0.6664368725837013
split2028,ligand_atoms_quartile,Q2,mcc,11,0.024935173831732573,-0.046982317087409325,0.11331106904266922
split2028,ligand_atoms_quartile,Q2,f1,11,0.07592703622803275,0.012987012987012981,0.14841818144645066
split2028,ligand_atoms_quartile,Q2,p_at_5,11,0.10909090909090911,0.0,0.2727272727272727
split2028,ligand_atoms_quartile,Q2,p_at_10,11,0.08181818181818182,0.0,0.17272727272727273
split2028,ligand_atoms_quartile,Q2,p_at_nc,11,0.06219588572529747,0.0,0.141133111721347
split2028,ligand_atoms_quartile,Q3,auprc,33,0.04720492253902381,0.028156385437041718,0.07038625976079048
split2028,ligand_atoms_quartile,Q3,auroc,33,0.6134678907410019,0.5433028626604085,0.6788420220881725
split2028,ligand_atoms_quartile,Q3,mcc,33,0.011569922627111633,-0.01859193717676972,0.04635540532146979
split2028,ligand_atoms_quartile,Q3,f1,33,0.035042525367345784,0.009049138632262687,0.06660523136133048
split2028,ligand_atoms_quartile,Q3,p_at_5,33,0.07272727272727272,0.0,0.16363636363636364
split2028,ligand_atoms_quartile,Q3,p_at_10,33,0.03636363636363636,0.0,0.08181818181818182
split2028,ligand_atoms_quartile,Q3,p_at_nc,33,0.04063673968837665,0.0101010101010101,0.07831016831531108
split2028,ligand_atoms_quartile,Q4,auprc,6,0.029138104874883563,0.01970463535277155,0.039164745464568565
split2028,ligand_atoms_quartile,Q4,auroc,6,0.4463601655498388,0.33999625796000016,0.5413186902036494
split2028,ligand_atoms_quartile,Q4,mcc,6,-0.03434354763034315,-0.04868513316052806,-0.017674405980073683
split2028,ligand_atoms_quartile,Q4,f1,6,0.0011534025374855667,0.0,0.0034602076124567
split2028,ligand_atoms_quartile,Q4,p_at_5,6,0.0,0.0,0.0
